"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","88","fileOutPath","fileOutPath = fileDir + ""CL-BH-016"";"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","97","fileOutPath","textFile.deleteFile(fileOutPath);"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","162","fileOutPath","fileOutPathContents = new ArrayList<>();"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","270","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb.toString(), 170));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","296","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb.toString(), 170));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","323","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb.toString(), 170));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","333","fileOutPath","textFile.writeFileContent(fileOutPath, fileOutPathContents, CHARSET5);"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","340","fileOutPath","fileOutPathContents.add(formatUtil.padX(hd.toString(), 80));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","351","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb1.toString(), 80));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","361","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb2.toString(), 80));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","370","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb3.toString(), 100));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","382","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb4.toString(), 80));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","390","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb5.toString(), 100));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","399","fileOutPath","fileOutPathContents.add(formatUtil.padX(edsb1.toString(), 170));"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","20","\.dat","import java.text.DateFormat;"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\in\svc\C016_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","54","FILE_NAME","private static final String FILE_NAME = ""CL-BH-019"";"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","120","FILE_NAME","outputFilePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","58","outputFile","private String outputFilePath;"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","97","outputFile","textFile.writeFileContent(outputFilePath, fileC019Contents, CHARSET);"
"D:\jsp\van_doc_1\c019\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C019Lsnr.java","120","outputFile","outputFilePath = fileDir + FILE_NAME;"
